"samp_size","model","dim","num_bs_samples","nrm_typ","test_type","proc_type","xcor","rej_conf","ub","lb","min_pval","max_pval","rej_rate"
200,1,100,300,"max","DE3JN","mag",0.5,"0.0884 (0.0807, 0.0966)",0.0966,0.0807,0,1,0.0884
200,1,100,300,"ssq","DE3JN","mag",0.5,"0.0799 (0.0726, 0.0878)",0.0878,0.0726,0,1,0.0799
200,1,50,300,"bonf","DE3JN","mag",0.5,"0.0296 (0.0251, 0.0347)",0.0347,0.0251,0.000449453917983345,13.864466380449,0.0296
200,1,50,300,"l2","DE3JN","mag",0.5,"0.0616 (0.0551, 0.0686)",0.0686,0.0551,0,1,0.0616
200,1,50,300,"lp","DE3JN","mag",0.5,"0.0734 (0.0663, 0.081)",0.081,0.0663,0,1,0.0734
200,1,50,300,"max","DE3JN","mag",0.5,"0.075 (0.0678, 0.0827)",0.0827,0.0678,0,1,0.075
200,1,50,300,"ssq","DE3JN","mag",0.5,"0.0741 (0.067, 0.0817)",0.0817,0.067,0,1,0.0741
200,2,10,300,"bonf","DE3JN","mag",0.5,"0.744 (0.7317, 0.7561)",0.7561,0.7317,1.54431356591544e-09,4.15924760871453,0.744
200,2,10,300,"l2","DE3JN","mag",0.5,"0.765 (0.753, 0.7767)",0.7767,0.753,0,0.98,0.765
200,2,10,300,"lp","DE3JN","mag",0.5,"0.8172 (0.8062, 0.8278)",0.8278,0.8062,0,0.984,0.8172
200,2,10,300,"max","DE3JN","mag",0.5,"0.8332 (0.8226, 0.8434)",0.8434,0.8226,0,0.984,0.8332
200,2,10,300,"ssq","DE3JN","mag",0.5,"0.8161 (0.8051, 0.8268)",0.8268,0.8051,0,0.984,0.8161
200,2,100,300,"bonf","DE3JN","mag",0.5,"0.5258 (0.5118, 0.5397)",0.5397,0.5118,1.55031765203262e-07,12.044246367298,0.5258
200,2,100,300,"l2","DE3JN","mag",0.5,"0.629 (0.6154, 0.6424)",0.6424,0.6154,0,0.992,0.629
