samp_size,model,dim,num_bs_samples,nrm_typ,test_type,proc_type,xcor,rej_conf,ub,lb,min_pval,max_pval,rej_rate
200,4,50,250,lp,DE2,mag,0.5,"0.4811 (0.4672, 0.4951)",0.4951,0.4672,0,0.996,0.4811
200,4,50,250,max,DE2,mag,0.5,"0.3741 (0.3607, 0.3876)",0.3876,0.3607,0,1,0.3741
200,4,50,250,ssq,DE2,mag,0.5,"0.4758 (0.4619, 0.4898)",0.4898,0.4619,0,0.996,0.4758
500,1,10,250,bonf,DE2,mag,0.5,"0.0424 (0.037, 0.0484)",0.0484,0.037,8.18E-08,6.704404447,0.0424
500,1,10,250,l2,DE2,mag,0.5,"0.0562 (0.05, 0.0629)",0.0629,0.05,0,1,0.0562
500,1,10,250,lp,DE2,mag,0.5,"0.0584 (0.0521, 0.0653)",0.0653,0.0521,0,1,0.0584
500,1,10,250,max,DE2,mag,0.5,"0.0614 (0.0549, 0.0684)",0.0684,0.0549,0,1,0.0614
500,1,10,250,ssq,DE2,mag,0.5,"0.0586 (0.0522, 0.0655)",0.0655,0.0522,0,1,0.0586
500,1,100,250,bonf,DE2,mag,0.5,"0.0476 (0.0419, 0.0539)",0.0539,0.0419,4.93E-07,24.6911413,0.0476
500,1,100,250,l2,DE2,mag,0.5,"0.053 (0.047, 0.0596)",0.0596,0.047,0,1,0.053
500,1,100,250,lp,DE2,mag,0.5,"0.062 (0.0555, 0.069)",0.069,0.0555,0,1,0.062
500,1,100,250,max,DE2,mag,0.5,"0.0724 (0.0654, 0.0799)",0.0799,0.0654,0,1,0.0724
500,1,100,250,ssq,DE2,mag,0.5,"0.0642 (0.0576, 0.0714)",0.0714,0.0576,0,1,0.0642
500,1,50,250,bonf,DE2,mag,0.5,"0.0448 (0.0392, 0.0509)",0.0509,0.0392,5.44E-08,15.58113886,0.0448
500,1,50,250,l2,DE2,mag,0.5,"0.061 (0.0545, 0.068)",0.068,0.0545,0,1,0.061
500,1,50,250,lp,DE2,mag,0.5,"0.0612 (0.0547, 0.0682)",0.0682,0.0547,0,1,0.0612
500,1,50,250,max,DE2,mag,0.5,"0.068 (0.0612, 0.0753)",0.0753,0.0612,0,1,0.068
500,1,50,250,ssq,DE2,mag,0.5,"0.06 (0.0536, 0.0669)",0.0669,0.0536,0,1,0.06
500,2,10,250,bonf,DE2,mag,0.5,"0.9768 (0.9722, 0.9808)",0.9808,0.9722,0,3.379645758,0.9768
500,2,10,250,l2,DE2,mag,0.5,"0.9696 (0.9645, 0.9742)",0.9742,0.9645,0,0.856,0.9696
500,2,10,250,lp,DE2,mag,0.5,"0.9804 (0.9762, 0.9841)",0.9841,0.9762,0,0.832,0.9804
500,2,10,250,max,DE2,mag,0.5,"0.978 (0.9735, 0.9819)",0.9819,0.9735,0,0.796,0.978
500,2,10,250,ssq,DE2,mag,0.5,"0.9808 (0.9766, 0.9844)",0.9844,0.9766,0,0.84,0.9808
500,2,100,250,bonf,DE2,mag,0.5,"0.9218 (0.914, 0.9291)",0.9291,0.914,0,18.30420889,0.9218
500,2,100,250,l2,DE2,mag,0.5,"0.9202 (0.9123, 0.9276)",0.9276,0.9123,0,0.968,0.9202
500,2,100,250,lp,DE2,mag,0.5,"0.9406 (0.9337, 0.947)",0.947,0.9337,0,0.984,0.9406
500,2,100,250,max,DE2,mag,0.5,"0.9386 (0.9316, 0.9451)",0.9451,0.9316,0,1,0.9386
500,2,100,250,ssq,DE2,mag,0.5,"0.947 (0.9404, 0.953)",0.953,0.9404,0,0.984,0.947
500,2,50,250,bonf,DE2,mag,0.5,"0.943 (0.9362, 0.9493)",0.9493,0.9362,0,6.22864964,0.943
500,2,50,250,l2,DE2,mag,0.5,"0.9368 (0.9297, 0.9434)",0.9434,0.9297,0,0.84,0.9368
500,2,50,250,lp,DE2,mag,0.5,"0.9578 (0.9519, 0.9632)",0.9632,0.9519,0,0.8,0.9578
