samp_size,model,dim,num_bs_samples,nrm_typ,test_type,proc_type,xcor,rej_conf,ub,lb,min_pval,max_pval,rej_rate
100,3,100,250,lp,pearson,mag,0,"0.1932 (0.1824, 0.2043)",0.2043,0.1824,0,1,0.1932
100,3,50,250,bonf,pearson,mag,0.5,"0.5258 (0.5118, 0.5397)",0.5397,0.5118,1.67E-13,11.11429759,0.5258
100,3,50,250,bonf,pearson,mag,0.8,"0.526 (0.512, 0.5399)",0.5399,0.512,0,21.63597943,0.526
100,3,50,250,bonf,pearson,mag,0,"0.4276 (0.4139, 0.4414)",0.4414,0.4139,3.46E-12,3.809708657,0.4276
100,3,50,250,pbotlp,pearson,mag,0.5,"0.475 (0.4611, 0.4889)",0.4889,0.4611,0,0.968,0.475
100,3,50,250,pbotlp,pearson,mag,0.8,"0.6321 (0.6186, 0.6455)",0.6455,0.6186,0,0.992,0.6321
100,3,50,250,pbotlp,pearson,mag,0,"0.3876 (0.3741, 0.4013)",0.4013,0.3741,0,0.908,0.3876
100,3,50,250,lp,pearson,mag,0.5,"0.4106 (0.3969, 0.4244)",0.4244,0.3969,0,0.996,0.4106
100,3,50,250,lp,pearson,mag,0.8,"0.566 (0.5521, 0.5798)",0.5798,0.5521,0,1,0.566
100,3,50,250,lp,pearson,mag,0,"0.3128 (0.3, 0.3259)",0.3259,0.3,0,0.996,0.3128
200,1,10,250,bonf,pearson,mag,0.5,"0.0506 (0.0447, 0.057)",0.057,0.0447,7.55E-06,6.535994918,0.0506
200,1,10,250,bonf,pearson,mag,0.8,"0.0342 (0.0293, 0.0396)",0.0396,0.0293,4.09E-06,7.774433705,0.0342
200,1,10,250,bonf,pearson,mag,0,"0.0769 (0.0697, 0.0847)",0.0847,0.0697,3.38E-05,5.555725938,0.0769
200,1,10,250,pbotlp,pearson,mag,0.5,"0.052 (0.046, 0.0585)",0.0585,0.046,0,1,0.052
200,1,10,250,pbotlp,pearson,mag,0.8,"0.0577 (0.0514, 0.0645)",0.0645,0.0514,0,1,0.0577
200,1,10,250,pbotlp,pearson,mag,0,"0.0597 (0.0533, 0.0667)",0.0667,0.0533,0,1,0.0597
200,1,10,250,lp,pearson,mag,0.5,"0.046 (0.0404, 0.0521)",0.0521,0.0404,0,1,0.046
200,1,10,250,lp,pearson,mag,0.8,"0.0509 (0.045, 0.0573)",0.0573,0.045,0,1,0.0509
200,1,10,250,lp,pearson,mag,0,"0.048 (0.0422, 0.0543)",0.0543,0.0422,0,1,0.048
200,1,100,250,bonf,pearson,mag,0.5,"0.0621 (0.0556, 0.0691)",0.0691,0.0556,1.47E-05,20.94026658,0.0621
200,1,100,250,bonf,pearson,mag,0.8,"0.0256 (0.0214, 0.0304)",0.0304,0.0214,1.75E-05,42.72026292,0.0256
200,1,100,250,bonf,pearson,mag,0,"0.1108 (0.1022, 0.1198)",0.1198,0.1022,2.42E-07,7.526978384,0.1108
200,1,100,250,pbotlp,pearson,mag,0.5,"0.0567 (0.0505, 0.0635)",0.0635,0.0505,0,0.996,0.0567
200,1,100,250,pbotlp,pearson,mag,0.8,"0.0609 (0.0545, 0.0678)",0.0678,0.0545,0,1,0.0609
200,1,100,250,pbotlp,pearson,mag,0,"0.0495 (0.0436, 0.0558)",0.0558,0.0436,0,0.988,0.0495
200,1,100,250,lp,pearson,mag,0.5,"0.0494 (0.0435, 0.0557)",0.0557,0.0435,0,1,0.0494
200,1,100,250,lp,pearson,mag,0.8,"0.0535 (0.0474, 0.06)",0.06,0.0474,0,1,0.0535
200,1,100,250,lp,pearson,mag,0,"0.0529 (0.0469, 0.0594)",0.0594,0.0469,0,1,0.0529
200,1,50,250,bonf,pearson,mag,0.5,"0.056 (0.0498, 0.0627)",0.0627,0.0498,6.92E-05,14.73773538,0.056
200,1,50,250,bonf,pearson,mag,0.8,"0.023 (0.019, 0.0275)",0.0275,0.019,8.45E-07,24.56869047,0.023
200,1,50,250,bonf,pearson,mag,0,"0.0989 (0.0907, 0.1075)",0.1075,0.0907,4.15E-07,8.21321425,0.0989
200,1,50,250,pbotlp,pearson,mag,0.5,"0.0559 (0.0497, 0.0626)",0.0626,0.0497,0,1,0.0559
200,1,50,250,pbotlp,pearson,mag,0.8,"0.0558 (0.0496, 0.0625)",0.0625,0.0496,0,1,0.0558
200,1,50,250,pbotlp,pearson,mag,0,"0.059 (0.0526, 0.0659)",0.0659,0.0526,0,1,0.059
200,1,50,250,lp,pearson,mag,0.5,"0.0478 (0.042, 0.054)",0.054,0.042,0,1,0.0478
